"Secuencia","Codigo Producto","Producto","Ingles","Chino","Cantidad","Saldo","Costo","Fob","Fob Total"
"4","R125-300305","CIGUEÑAL","CRANK/CONNECT LEVER","","100","100","12.82","",""
"9","R125-300515","EMBRAGUE COMPLETO  XY125-7","CLUTCH ASSY","","30","30","8.17","",""
"14","R125-300622","DECORATIVO DE TAPA DE BOBINA DE MOTOR Y DE EMBRAGUE","LEFT DECORATIVE COVER","","10","10","2.09","",""
"19","R125-300916NEG","COMPLEMENTO DE TAPA LATERAL IZQUIERDO","Side cover, L","","50","50","3.96","",""
"24","R125-300932NEG","MASCARILLA DE DIRECCIONAL 2021","","","25","25","7.62","",""
"29","R125-300934AZU","DECORATIVO DER. DE COBERTOR ENTRE PIERNAS 2023","","","20","20","5.21","",""
"97","R150-000221","PALILLO DE DISTRIBUCION  JUEGO  2PCS","Bolt M8×28","上摇臂螺栓","150","150","1.02","",""
"102","R150-000531","CAMPANA DE ACEITE","","","100","100","1.56","",""
"107","R150-000709","VELOCIMETRO","Meter ","仪表","150","150","13.56","",""
"112","R150-000810","COMANDO IZQUIERDO","Handlebar switch, LH","左手把开关","100","100","2.2","",""
"117","R150-000842","TROMPO DE FRENO DELANTERO TODOS LOS MODELOS","","","100","100","0.34","",""
"122","R150-000941NEG","TANQUE DE COMBUSTIBLE CLASICA 2023","","","25","25","25.43","",""
"127","R150-000943ROJ","TAPA LATERAL DERECHA  CLASICA 2023","","","70","70","4.9","",""
"132","R150-001219","PEDAL DE CAMBIOS","Gearshift pedal ","变档踏板","160","160","2.91","",""
"137","R150-001403","RECTIFICADOR 4CABLES THOR FREEDOM COLT 200-18 150-15","Voltage Regulator","电压调节器","400","400","2.76","",""
"142","R150-002107","CARBURADOR","Carburetor assy","化油器总成","100","100","12.11","",""
"147","R150-100121","KIT DE CILINDRO C/EMPAQUE","","","100","100","13.68","",""
"152","R150-100801","COMANDO DERECHO","Handlebar switch, RH","右手把开关","100","100","3.14","",""
"157","R150-100814","CABLE DE EMBRAGUE","Cable clutch","离合拉索","50","50","1.2","",""
"159","R150-100822","MESA DE SUSPENSION","Steering stem","方向柱","25","25","5.89","",""
"162","R150-100837","PASTILLAS DE FRENO DELANTERO","","前碟刹蹄片","300","300","2.44","",""
"164","R150-101004ROJ","GUARDAFANGO DELANTERO 2023","Install bush, rear fender","翻边衬套","20","20","7.15","",""
